key_resp.keys,key_resp.rt,participant,session,date,Condition,CorrResp_Train,Part_Resp_Train,Code_Train,CorrResp_Test,Part_Resp_Test,Code_Test
,,52,1,2021-04-07_12h35.31.595,MO,2,1,0,5,5,1
,,52,1,2021-04-07_12h35.31.595,MO,0,8,0,0,0,1
,,52,1,2021-04-07_12h35.31.595,MO,6,5,0,6,6,1
,,52,1,2021-04-07_12h35.31.595,MO,1,4,0,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,8,7,0,3,3,1
,,52,1,2021-04-07_12h35.31.595,MO,6,5,0,4,2,0
,,52,1,2021-04-07_12h35.31.595,MO,4,3,0,8,8,1
,,52,1,2021-04-07_12h35.31.595,MO,0,7,0,0,5,0
,,52,1,2021-04-07_12h35.31.595,MO,3,3,1,7,7,1
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,5,5,1
,,52,1,2021-04-07_12h35.31.595,MO,1,1,1,4,2,0
,,52,1,2021-04-07_12h35.31.595,MO,2,2,1,2,1,0
,,52,1,2021-04-07_12h35.31.595,MO,5,8,0,6,6,1
,,52,1,2021-04-07_12h35.31.595,MO,3,2,0,1,4,0
,,52,1,2021-04-07_12h35.31.595,MO,0,8,0,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,3,3,1
,,52,1,2021-04-07_12h35.31.595,MO,4,4,1,5,5,1
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,4,4,1
,,52,1,2021-04-07_12h35.31.595,MO,6,6,1,2,1,0
,,52,1,2021-04-07_12h35.31.595,MO,2,4,0,7,7,1
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,8,8,1
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,1,4,0
,,52,1,2021-04-07_12h35.31.595,MO,1,4,0,0,0,1
,,52,1,2021-04-07_12h35.31.595,MO,5,6,0,6,6,1
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,5,5,1
,,52,1,2021-04-07_12h35.31.595,MO,6,6,1,2,2,1
,,52,1,2021-04-07_12h35.31.595,MO,4,3,0,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,3,4,0
,,52,1,2021-04-07_12h35.31.595,MO,0,8,0,0,5,0
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,8,8,1
,,52,1,2021-04-07_12h35.31.595,MO,4,1,0,7,7,1
,,52,1,2021-04-07_12h35.31.595,MO,3,2,0,1,4,0
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,4,2,0
,,52,1,2021-04-07_12h35.31.595,MO,6,5,0,6,6,1
,,52,1,2021-04-07_12h35.31.595,MO,1,1,1,8,8,1
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,3,3,1,0,8,0
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,7,7,1
,,52,1,2021-04-07_12h35.31.595,MO,5,8,0,1,1,1
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,2,3,0
,,52,1,2021-04-07_12h35.31.595,MO,5,6,0,8,8,1
,,52,1,2021-04-07_12h35.31.595,MO,3,2,0,6,6,1
,,52,1,2021-04-07_12h35.31.595,MO,0,0,1,5,8,0
,,52,1,2021-04-07_12h35.31.595,MO,4,4,1,3,3,1
,,52,1,2021-04-07_12h35.31.595,MO,2,1,0,4,4,1
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,2,1,0,7,7,1
,,52,1,2021-04-07_12h35.31.595,MO,6,6,1,2,1,0
,,52,1,2021-04-07_12h35.31.595,MO,1,4,0,0,0,1
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,3,3,1
,,52,1,2021-04-07_12h35.31.595,MO,0,0,1,4,4,1
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,5,6,0
,,52,1,2021-04-07_12h35.31.595,MO,0,5,0,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,3,3,1,6,6,1
,,52,1,2021-04-07_12h35.31.595,MO,5,6,0,0,5,0
,,52,1,2021-04-07_12h35.31.595,MO,6,6,1,8,8,1
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,1,1,1
,,52,1,2021-04-07_12h35.31.595,MO,4,2,0,3,3,1
,,52,1,2021-04-07_12h35.31.595,MO,2,1,0,5,5,1
,,52,1,2021-04-07_12h35.31.595,MO,0,0,1,4,1,0
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,6,6,1
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,8,8,1
,,52,1,2021-04-07_12h35.31.595,MO,3,2,0,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,3,3,1,7,7,1
,,52,1,2021-04-07_12h35.31.595,MO,1,2,0,2,2,1
,,52,1,2021-04-07_12h35.31.595,MO,4,2,0,3,3,1
,,52,1,2021-04-07_12h35.31.595,MO,5,6,0,1,1,1
,,52,1,2021-04-07_12h35.31.595,MO,6,5,0,8,8,1
,,52,1,2021-04-07_12h35.31.595,MO,4,4,1,2,1,0
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,5,6,0
,,52,1,2021-04-07_12h35.31.595,MO,1,1,1,7,7,1
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,0,0,1
,,52,1,2021-04-07_12h35.31.595,MO,0,0,1,4,4,1
,,52,1,2021-04-07_12h35.31.595,MO,3,3,1,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,5,6,0,1,1,1
,,52,1,2021-04-07_12h35.31.595,MO,5,0,0,3,3,1
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,5,5,1
,,52,1,2021-04-07_12h35.31.595,MO,4,3,0,8,8,1
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,4,1,0
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,6,6,1
,,52,1,2021-04-07_12h35.31.595,MO,1,2,0,0,0,1
,,52,1,2021-04-07_12h35.31.595,MO,2,2,1,2,1,0
,,52,1,2021-04-07_12h35.31.595,MO,1,4,0,7,7,1
,,52,1,2021-04-07_12h35.31.595,MO,3,3,1,1,4,0
,,52,1,2021-04-07_12h35.31.595,MO,5,5,1,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,6,6,1,3,3,1
,,52,1,2021-04-07_12h35.31.595,MO,2,1,0,6,6,1
,,52,1,2021-04-07_12h35.31.595,MO,4,3,0,8,8,1
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,5,5,1
,,52,1,2021-04-07_12h35.31.595,MO,1,4,0,7,7,1
,,52,1,2021-04-07_12h35.31.595,MO,2,2,1,2,2,1
,,52,1,2021-04-07_12h35.31.595,MO,4,4,1,0,0,1
,,52,1,2021-04-07_12h35.31.595,MO,6,6,1,1,1,1
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,6,5,0
,,52,1,2021-04-07_12h35.31.595,MO,5,5,1,4,4,1
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,8,5,0
,,52,1,2021-04-07_12h35.31.595,MO,0,0,1,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,3,3,1,2,2,1
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,3,3,1
,,52,1,2021-04-07_12h35.31.595,MO,1,1,1,5,5,1
,,52,1,2021-04-07_12h35.31.595,MO,6,6,1,4,1,0
,,52,1,2021-04-07_12h35.31.595,MO,4,4,1,1,4,0
,,52,1,2021-04-07_12h35.31.595,MO,8,5,0,6,5,0
,,52,1,2021-04-07_12h35.31.595,MO,0,0,1,0,0,1
,,52,1,2021-04-07_12h35.31.595,MO,3,3,1,8,8,1
,,52,1,2021-04-07_12h35.31.595,MO,3,2,0,7,7,1
,,52,1,2021-04-07_12h35.31.595,MO,2,1,0,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,3,3,1
,,52,1,2021-04-07_12h35.31.595,MO,1,1,1,1,4,0
,,52,1,2021-04-07_12h35.31.595,MO,6,6,1,7,7,1
,,52,1,2021-04-07_12h35.31.595,MO,4,3,0,5,5,1
,,52,1,2021-04-07_12h35.31.595,MO,0,0,1,2,2,1
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,3,3,1
,,52,1,2021-04-07_12h35.31.595,MO,5,5,1,8,8,1
,,52,1,2021-04-07_12h35.31.595,MO,3,3,1,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,0,0,1
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,7,7,1
,,52,1,2021-04-07_12h35.31.595,MO,0,0,1,2,2,1
,,52,1,2021-04-07_12h35.31.595,MO,4,4,1,6,6,1
,,52,1,2021-04-07_12h35.31.595,MO,6,6,1,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,4,1,0
,,52,1,2021-04-07_12h35.31.595,MO,2,1,0,8,5,0
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,0,0,1
,,52,1,2021-04-07_12h35.31.595,MO,5,5,1,3,3,1
,,52,1,2021-04-07_12h35.31.595,MO,1,1,1,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,3,3,1,1,1,1
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,2,1,0
,,52,1,2021-04-07_12h35.31.595,MO,0,0,1,7,8,0
,,52,1,2021-04-07_12h35.31.595,MO,1,4,0,5,8,0
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,0,0,1
,,52,1,2021-04-07_12h35.31.595,MO,6,6,1,6,6,1
,,52,1,2021-04-07_12h35.31.595,MO,5,5,1,1,4,0
,,52,1,2021-04-07_12h35.31.595,MO,2,2,1,8,8,1
,,52,1,2021-04-07_12h35.31.595,MO,0,0,1,4,2,0
,,52,1,2021-04-07_12h35.31.595,MO,5,5,1,7,7,1
,,52,1,2021-04-07_12h35.31.595,MO,1,4,0,2,4,0
,,52,1,2021-04-07_12h35.31.595,MO,3,3,1,5,5,1
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,6,6,1
,,52,1,2021-04-07_12h35.31.595,MO,4,4,1,7,7,1
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,0,0,1
,,52,1,2021-04-07_12h35.31.595,MO,0,5,0,1,4,0
,,52,1,2021-04-07_12h35.31.595,MO,5,8,0,9,9,1
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,3,3,1
,,52,1,2021-04-07_12h35.31.595,MO,6,6,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,2,2,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,0,0,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,4,4,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,3,3,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,2,2,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,1,1,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,6,6,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,0,0,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,2,2,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,1,4,0,,,
,,52,1,2021-04-07_12h35.31.595,MO,6,6,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,5,6,0,,,
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,4,4,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,3,3,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,2,1,0,,,
,,52,1,2021-04-07_12h35.31.595,MO,9,9,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,1,1,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,3,3,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,5,5,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,2,2,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,6,6,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,4,4,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,1,1,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,2,2,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,5,5,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,2,2,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,8,8,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,7,7,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,5,5,1,,,
,,52,1,2021-04-07_12h35.31.595,MO,0,0,1,,,
